														
Analyse du cycle de vie des produits	id: + 2076													
L'abréviation C.L.P signifie:	Conseil de Liberté et de Prudence	Comité de Laboratoire Public	Classification et Labellisation des Pictogrammes	Classification, Labelling, Packaging		ANSWERS	Classification, Labelling, Packaging							
Le C.L.P donne de nouveaux pictogrammes en vigueur depuis le 1 décembre 2010,leur nombre est de:	5 pictogrammes	8 pictogrammes	9 pictogrammes	10 pictogrammes		ANSWERS	9 pictogrammes							
Le pictogramme de danger physique signifiant «gaz sous pression» est un dessin:	d'un point d'exclamation	d'un arbre et d'un poisson morts	d'une bouteille de gaz	d'une flamme au-dessus d'un cercle		ANSWERS	d'une bouteille de gaz							
Le point éclair est:	une température à une pression déterminée	une concentration	une masse volumique	une durée		ANSWERS	une température à une pression déterminée							
Plus le point éclair est bas et plus la substance est:	peu dangereuse	dangereuse et inflammable	inoffensive	comestible		ANSWERS	dangereuse et inflammable							
La V.M.E signifie:	La Valeur Minimale d'Exposition	La Valeur Moyenne d'Extraction	La Vitesse Moyenne d'Ecoulement	La Valeur Moyenne d'Exposition		ANSWERS	La Valeur Moyenne d'Exposition							
La V.L.E signifie:	La Valeur Limite d'Exposition	La Valeur Limite d'Extraction	La Vitesse Limite d'Ecoulement	La Ventilation Laminaire Extérieure		ANSWERS	La Valeur Limite d'Exposition							
La V.L.E est pour une substance identique:	inférieure à la V.M.E	égale à la V.M.E	supérieure à la V.M.E	sans aucun rapport avec la V.M.E		ANSWERS	supérieure à la V.M.E							
﻿La DL<sub>50</sub> correspond à une dose létale:	où 50 hommes sont décédés	50% des animaux sont décédés	de 50 mg/ L	de 50 g/ kg		ANSWERS	50% des animaux sont décédés							
Plus la dose létale est faible,	plus la substance est inoffensive	plus la substance est toxique	moins la substance est toxique	moins il y a de danger pour la santé		ANSWERS	plus la substance est toxique							
														
Vêtement et revêtement : Matériaux polymères 2/2	id: + 2081													
Un atome de soufre peut former deux liaisons de covalence simple et il possède deux doublets non liants. Combien possède-t-il d'électrons sur sa couche externe?	5 électrons	2 électrons	6 électrons	4 électrons		ANSWERS	6 électrons							
Un atome d'azote possède dans une molécule:	2 doublets liants	3 doublets liants	1 doublet liant	4 doublets liants		ANSWERS	3 doublets liants							
Un polyamide est synthétisé à partir d'un diacide carboxylique et:	d'un diol	d'une diamine	d'un ester	d'un alcane		ANSWERS	d'une diamine							
Une liaison intermoléculaire est:	une liaison de covalence simple	une liaison hydrogène	une liaison forte	une liaison de covalence double		ANSWERS	une liaison hydrogène							
Le nylon 6-6 est un polymère:	thermoplastique	thermodurcissable	obtenu par polyaddition	non recyclable		ANSWERS	thermoplastique							
Dans une polycondensation, il y a:	synthèse de polyesters	synthèse de polyamides	synthèse de polystyrène	synthèse d'éthanol		ANSWERS	synthèse de polystyrène							
﻿Un polymère possédant un degré de polymérisation D.P= 400 et dont le motif élémentaire a pour masse molaire moléculaire M= 850 g.mol<sup>-1</sup> a une masse molaire moléculaire moyenne égale à:	﻿340 g.mol<sup>-1</sup>	﻿340 000 kg.mol<sup>-1</sup>	﻿3 400 kg.mol<sup>-1</sup>	﻿340 kg.mol<sup>-1</sup>		ANSWERS	﻿340 kg.mol<sup>-1</sup>							
Un polymère thermodurcissable	est recyclable	ne peut pas être recyclé	possède des liaisons hydrogène	possède des liaisons de Van der Walls		ANSWERS	ne peut pas être recyclé							
Un polymère thermoplastique	est dur et cassant	est élastique	possède des liaisons faibles	n'est pas recyclable		ANSWERS	possède des liaisons faibles							
Le P.V.C (Poly Chlorure de Vinyle) est obtenu	par polymérisation par condensation	par polymérisation par addition	par réaction d'estérification	par réaction faisant intervenir une amine		ANSWERS	par polymérisation par addition							
														
Second degré	id: + 2082													
La forme factorisée de f(x) = 2x² + 2x - 40 est :	2(x – 4)(x – 5)	2(x + 4)(x – 5)	2(x – 4)(x + 5)	2(x + 4)(x + 5)		ANSWERS	2(x – 4)(x + 5)							
f(x) = -x² + 4x – 5 peut aussi s’écrire :	-((x – 2)² + 1)	-((x + 2)² + 1)	-((x – 2)² – 1)	-((x + 2)² – 1)		ANSWERS	-((x – 2)² + 1)							
Le discriminant de 3x² – 5x – 7 est :	-59	109	59	89		ANSWERS	109							
L’équation 2x² + 3x + 1 = 0 :	n'a pas de solution	a une solution	a 2 solutions	a 3 solutions		ANSWERS	a 2 solutions							
L’équation 3x² + 2x + 1 = 0	n'a pas de solution	a une solution	a 2 solutions	a 3 solutions		ANSWERS	n'a pas de solution							
Le sommet de la parabole représentant la fonction f : x → –2x² – 2x + 8  a pour abscisse :	-0,5	-2	2	0,5		ANSWERS	0,5							
2x² – 4x – 6 < 0 a pour solution :	]-1 ;3[	]-3 ;-1[	]-∞,-1[ U ]3 ;+∞[	]-∞,-3[ U ]1 ;+∞[		ANSWERS	]-1 ;3[							
Le tableau de signe suivant correspond à celui de l’expression	-2x² + 5x – 1	x² + 2x + 1	- x² + √2 x – 2	-3x² – 18x – 3		ANSWERS	- x² + √2 x – 2							
L’expression algébrique de la fonction f dont la représentation graphique est la parabole ci-dessous est :	f(x) = -x² – 4x + 4	f(x) = x² + 4x + 4	f(x) = -x² – 4x – 4	f(x) = -x + 4x + 4		ANSWERS	f(x) = -x + 4x + 4							
Quelle affirmation est fausse ?	Les solutions de -3x² + 6x + 9 sont -1 et 3	L’axe de symétrie de la courbe représentant la fonction f définie sur ℝ par f(x) = 12 – 3(x – 1)² a pour équation x = 1	3x² + 5x – 1 > 0 pour tout réel x	Le sommet de la parabole représentant la fonction f définie sur ℝ par f(x) = x² – 6x + 5 a pour coordonnées (3 ; -4)		ANSWERS	3x² + 5x – 1 > 0 pour tout réel x							
Pourquoi peut-on dire que le régime reste parlementaire ?	Car les débats sont encore présents.	Parce que De Gaulle peut avoir les « pleins pouvoirs »	Parce que le système reste bicaméral.	Parce que ce sont toujours les français qui votent.		ANSWERS	Parce que le système reste bicaméral.							
A partir de quelle année l'élection du Président de la République se fait-elle au suffrage universel ?	1946	1958	1962	1968		ANSWERS	1962							
Qui a été élu président de la République le 10 mai 1981 ?	Valéry Giscard d'Estaing.	Georges Pompidou.	François Mitterrand.	Jacques Chirac.		ANSWERS	François Mitterrand.							
Dans quelle situation politique se trouve la France en 1997 ?	Une cohabitation	En pleine réforme constitutionnelle.	Le mandat du Président de la République est modifié.	En campagne électorale.		ANSWERS	Une cohabitation							
Que prévoit la loi présentée par Simone Veil ?	L'abolition de la peine de mort.	La parité en politique.	L'évolution du statut juridique des femme.	L'interruption volontaire de grossesse.		ANSWERS	L'interruption volontaire de grossesse.							
Qu'est-ce qu'une Constitution ?	Une garden-party à l’Élysée.	Le discours d'un Président de la République.	Un ensemble de lois régissant l’état.	Un synonyme du terme « cohabitation ».		ANSWERS	Un ensemble de lois régissant l’état.							
A quelle date se termine la Vème République ?	Elle est encore en vigueur.	Pendant la Grande Dépression	En 2000	En 2012		ANSWERS	Elle est encore en vigueur.							
En quelle année l'Euro est-il mis en circulation ?	1997	1999	2000	2002		ANSWERS	2002							
Depuis quand la décentralisation est-elle inscrite dans la Constitution française ?	23 mars 1986	28 mars 1997	23 mars 2003	28 mars 2003		ANSWERS	28 mars 2003							
Lequel de ces territoires n'est pas un DROM ?	Mayotte	La Réunion	La Polynésie	La Guyane		ANSWERS	La Polynésie							
Par qui est remplacé Paul Reynaud à la tête de la France en 1940 ?	Le maréchal Leclerc	Le général Clémenceau	Le maréchal Pétain	Le maréchal Laval		ANSWERS	Le maréchal Pétain							
														
Comprendre les territoires de proximité	id: + 2092													
Quand ont été votées les lois de décentralisation ?	1982	1987	1990	1790		ANSWERS	1982							
En quoi consistent les lois de décentralisation ?	A renforcer le pouvoir de l’Etat	A donner plus d’argent aux régions	A transférer les compétences de l’Etat vers les collectivités territoriales	A créer de nouvelles régions		ANSWERS	A transférer les compétences de l’Etat vers les collectivités territoriales							
Combien compte-t-on de régions en France métropolitaine en 2016 ?	15	22	18	13		ANSWERS	13							
Qu’est ce qu’une collectivité territoriale ?	Une structure administrative gérant les territoires localement, dirigée par une assemblée élue	Un système de répartition égalitaire des ressources	Un accord entre l’Etat et les régions	Un accord de coopération entre l’état et la ville		ANSWERS	Une structure administrative gérant les territoires localement, dirigée par une assemblée élue							
Comment s’appelle la loi qui créée les nouvelles régions ?	La loi Notre	La loi Votre	La loi Etat Région	La loi Hollande		ANSWERS	La loi Notre							
Qu’est ce qu’une région ?	Un ensemble de départements plus ou moins nombreux	Un espace indéfini	Un ensemble de villes	Un ensemble de länder		ANSWERS	Un ensemble de départements plus ou moins nombreux							
Quelle est la définition de « territoire du quotidien » ?	Un espace familier qu’un individu se construit autour du lieu où il réside et en fonction de ses activités.	Un espace où l’on travaille	Un espace où l’on se déplace quotidiennement	Un espace de vie		ANSWERS	Un espace familier qu’un individu se construit autour du lieu où il réside et en fonction de ses activités.							
Autour de quoi s’organise le territoire de proximité ?	Le domicile	Le travail	Les loisirs	L’école		ANSWERS	Le domicile							
Qu’est ce que l’intercommunalité ?	Un regroupement d’entreprises	Un regroupement de communes	Une association d’habitants	Un regroupement de communautés de communes		ANSWERS	Un regroupement de communes							
Quel est le but de l’intercommunalité ?	Réconcilier les citoyens	Que les citoyens se rencontrent	Construire ensemble des infrastructures communes	Avoir plus d’espace		ANSWERS	Construire ensemble des infrastructures communes							
														
Les transports, enjeu(x) d'aménagement et d'équité - Sujet d'étude au choix (3)	id: + 2093													
Donnez la définition pour la ZAD.	Zone à Défendre	Zone de Défense	Zone de Dangers	Zone à Déménager		ANSWERS	Zone à Défendre							
Qu’est ce qui compte aujourd’hui plus que la distance ?	Le travail	Le temps	Les loisirs	Le bien être		ANSWERS	Le temps							
Quand devait débuter la construction de l’aéroport Notre Dame des Landes ?	2012	2013	2014	2015		ANSWERS	2014							
Qu’est ce qui favorisent l’intégration des transports ?	Le développement de l’internet	Le développement des sociétés	Le développement des transports	Le développement de la mondialisation		ANSWERS	Le développement de la mondialisation							
Quelles sont les nuisances dues au développement d’un nouvel aéroport ?	Pollution sonore	Pollution atmosphérique	Pollution de déchets toxiques	Pollution visuelle		ANSWERS	Pollution atmosphérique							
Qu’est ce qu’une LGV ?	Ligne à grande vitesse	Ligne de grand vent	Ligne générale de vitesse	Ligne de grande volonté		ANSWERS	Ligne à grande vitesse							
Qu’est ce que le ferroutage ?	Chemin de fer et bateau	Chemin de fer et camion	Chemin de fer et avion	Chemin de fer et cheval		ANSWERS	Chemin de fer et camion							
Donnez une définition pour le terme métropolisation.	Concentration croissante de la population	Concentration croissante des services	Concentration croissante des transports	Concentration croissante des villes		ANSWERS	Concentration croissante de la population							
Qu’est ce que la périurbanisation ?	Concentration d’urbains	Concentration de villes	Concentration de bâtiments	Urbanisation au-delà des limites d’une agglomération		ANSWERS	Urbanisation au-delà des limites d’une agglomération							
Combien de passagers reçoivent les deux aéroports de Paris ?	1 milliard	93 millions	73 millions	83 millions		ANSWERS	83 millions							
														
Solidarité des territoires et des personnes - Sujet d'étude au choix (3)	id: + 2094													
Qu’est ce que la politique de la ville ?	Un ensemble de mesures destinées prioritairement aux quartiers en difficultés, dans le but de réduire les inégalités	Un ensemble de mesures pour rendre la ville attractive	Un ensemble de mesures pour rendre la ville riche	Un ensemble de mesures pour promouvoir la ville		ANSWERS	Un ensemble de mesures destinées prioritairement aux quartiers en difficultés, dans le but de réduire les inégalités							
Quand ont été créées les ZUP ?	Dans les années 1970	Dans les années 1980	Dans les années 1990	Dans les années 2000		ANSWERS	Dans les années 1970							
Qu’est ce qu’une zone franche urbaine ?	Une zone où la franchise règne	Une zone aidée pour attirer les entreprises	Une zone désertique	Une zone où il y a beaucoup d’urbains		ANSWERS	Une zone aidée pour attirer les entreprises							
Combien existe-t-il de type d’espace rural ?	6	5	3	2		ANSWERS	3							
Que sont les PER ?	Pôle d’excellence rural	Pôle économique ruraux	Pôle étatique rural	Pôle d’excellence de rachat		ANSWERS	Pôle d’excellence rural							
Quand a été signée la convention ANRU ?	2005	2008	2001	2004		ANSWERS	2004							
Combien existe-t-il de PER ?	600	1000	500	800		ANSWERS	500							
Que signifie une croissance radioconcentrique ?	Une croissance en carrés	Une croissance en triangle	Une croissance en rectangle	Une croissance en cercles		ANSWERS	Une croissance en cercles							
Quels sont les espaces ruraux dynamiques ?	Le rural profond	Le rural périurbain	Le rural touristique	Le rurbain		ANSWERS	Le rural périurbain							
Combien de personnes vivent dans les ZUS ?	10 millions	1 million	40 millions	4 millions		ANSWERS	4 millions							
														
36 700 communes : un attachement français - Sujet d'étude au choix (3)	id: + 2095													
Quelle est la rémunération d’un maire dans une petite commune ?	450 euros	500 euros	600 euros	5000 euros		ANSWERS	600 euros							
Qui dirige la commune?	Le maire	Le préfet	Les conseillers municipaux	La police		ANSWERS	Le maire							
Comment est élu le maire ?	Au suffrage censitaire	Au suffrage universel direct	Au suffrage universel indirect	Il est nommé		ANSWERS	Au suffrage universel indirect							
Combien existe-t-il d’EPCI en 2014 ?	12159	13159	14159	15159		ANSWERS	12159							
Quand ont été mises en place les communes ?	Au 19ème siècle	Au 20ème siècle	Au 18ème siècle	Au 17ème siècle		ANSWERS	Au 18ème siècle							
Combien de communes ont moins de mille habitants ?	Les 2/3	Les 9/10è	Les 3/4	50%		ANSWERS	Les 2/3							
En quelle année a-t-on essayé de limiter l’émiettement communal ?	1975	1976	1978	1971		ANSWERS	1971							
Combien de communes compte l’Allemagne ?	12 000	11 000	13 000	14 000		ANSWERS	11 000							
Quelle est la moyenne de la population des communes françaises ?	500 habitants	1700 habitants	2300 habitants	5000 habitants		ANSWERS	1700 habitants							
Comment appelle-t-on le regroupement des communes ?	Un département	Une ville	Les cantons	L’intercommunalité		ANSWERS	L’intercommunalité							
														
Vivre et mourir en Europe du milieu du XIXème siècle aux années 1960	id: + 2096													
Qu'est-ce que le processus d'industrialisation ?	Le remplacement du travail manuel par la machine	Un synonyme du terme « mondialisation »	Une industrie qui transforme le métal	Les procédés et techniques qui développent la production mécanisée en usine.		ANSWERS	Les procédés et techniques qui développent la production mécanisée en usine.							
Comment définir un régime démographique moderne ?	Taux de mortalité élevé et taux de natalité faible	Taux de natalité faible et de mortalité faible	Taux de natalité élevé et taux de mortalité élevé	Taux de mortalité faible et taux de natalité fort		ANSWERS	Taux de natalité faible et de mortalité faible							
Quel bouleversement social entraîne l'industrialisation ?	L'amélioration des conditions de vie des ouvriers	La chute des bourgeois	La diminution de la population ouvrière	L'interdiction des syndicats		ANSWERS	L'amélioration des conditions de vie des ouvriers							
Que signifie le terme « exode rural » ?	Les gens quittent les villes pour la campagne	Les gens quittent les banlieues pour les villes	Les gens quittent la campagne pour les villes	Les gens quittent les villes pour les usines		ANSWERS	Les gens quittent la campagne pour les villes							
Le libéralisme est :	Un système où l’État s'implique totalement dans l'économie	Un système dans lequel la liberté d'entreprise n'est pas limitée par l’État	Un mouvement politique qui lutte contre l'exploitation économique des ouvriers	Un système fondé sur la propriété privée et le recherche du profit individuel		ANSWERS	Un système dans lequel la liberté d'entreprise n'est pas limitée par l’État							
Quels sont les critères d'un suffrage censitaire ?	Système électoral dans lequel le droit de vote est réservé à ceux qui paient un certain montant d'impôts	Système économique dans lequel le droit de vote est réservé à ceux qui paient un certain montant d'impôts	Le droit de vote accordé à tous les hommes de plus de 21 ans	Un régime dans lequel le roi doit respecter une Constitution		ANSWERS	Système électoral dans lequel le droit de vote est réservé à ceux qui paient un certain montant d'impôts							
La seconde République est proclamée en :	Mars 1848	Octobre 1849	Février 1848	Décembre 1848		ANSWERS	Février 1848							
L'alliance composée de l'Allemagne, l'Autriche-Hongrie et de l'Italie s'appelle :	La Triple-Entente	Le Triple-Accord	La Triplice	Le Triple-Agrément		ANSWERS	La Triplice							
La période extraordinaire de croissance économique qui intervient après la Seconde Guerre Mondiale a pour nom :	Les Trente-Joyeuses	Les Trente-Glorieuses	Les Trente-Pleureuses	Les Trente-Chanteuses		ANSWERS	Les Trente-Glorieuses							
En quelle année survient le premier choc pétrolier ?	1969	1970	1973	1979		ANSWERS	1973							
														
La pénicilline : du laboratoire à la société, naissance d’un médicament - Sujet d'étude au choix (2)	id: + 2097													
Que découvre Alexander Fleming en 1928 ?	L'ampicilline	La pénicilline	La streptomycine	La céphalosporine		ANSWERS	La pénicilline							
Où se déroule le plus gros des recherches sur la Pénicilline ?	Cambridge	Canterbury	Manchester	Oxford		ANSWERS	Oxford							
Quel est le pays d'origine d'Ernst Chain ?	L'Angleterre	La France	L'Allemagne	La Hollande		ANSWERS	L'Allemagne							
La Pénicilline est le premier médicament...	...hypoallergénique	...antibactérien	...antibiotique	...hygiénique		ANSWERS	...antibiotique							
Pendant la Seconde Guerre Mondiale, quel pays est le plus gros producteur de Pénicilline ?	Les États-Unis d'Amérique	L'Angleterre	La France	L'Australie		ANSWERS	Les États-Unis d'Amérique							
En quelle année Fleming, Chain et Florey obtiennent-ils le Prix Nobel ?	1928	1939	1943	1945		ANSWERS	1945							
Quel type de Prix Nobel obtiennent-ils ?	Le Prix Nobel de Physique	La Prix Nobel de Médecine	Le Prix Nobel de Chimie	Le Prix Nobel de Recherche et Développement		ANSWERS	La Prix Nobel de Médecine							
Quel est l'impact de la Pénicilline sur la population ?	Le taux de mortalité infantile grimpe	L’espérance de vie augmente	Une chute de la démographie	L’espérance de la vie baisse		ANSWERS	L’espérance de vie augmente							
Au début, qui est prioritaire pour un traitement à la Pénicilline ?	Les personnes âgées	Les bébés	Les soldats au Front	Les femmes enceintes		ANSWERS	Les soldats au Front							
Originellement, la Pénicilline est...	...une dissolution de staphylocoques	...une moisissure d'un champignon	...une bacille de tuberculose	...une culture bactérienne		ANSWERS	...une moisissure d'un champignon							
														
La mode (création, production, usages) : un sujet d’histoire - Sujet d'étude au choix (2)	id: + 2098													
A qui sont destinées les créations de haute-couture ?	Aux nobles	Aux ouvriers	Aux élites	Aux femmes		ANSWERS	Aux élites							
Quelles années marquent le début de la haute-couture ?	1800	1850	1900	1950		ANSWERS	1900							
Pendant l'époque moderne de la Mode, quel est l'accessoire-clé ?	Des souliers fins	Les chapeaux-cloches	Les corsets	Les voilettes		ANSWERS	Les chapeaux-cloches							
Les guerres ralentissent l'évolution de la mode, pourquoi ?	Le manque de matières-premières	Le désintérêt pour la mode	Les morts trop nombreux	La violence des combats		ANSWERS	Le manque de matières-premières							
Comment s'appelle la collection de Christian Dior, qui sort en 1947 ?	« New Bar »	«  New Mooc »	« New Look »	« New Book »		ANSWERS	« New Look »							
Une grande créatrice de mode des années 1970 ?	Coco Chanel	Lolita Lempicka	Vivienne Westwood	Ines de la Fressange		ANSWERS	Vivienne Westwood							
L'évolution de la mode participe à …	...l'émancipation des enfants	...l'émancipation des femmes	...l'émancipation des ouvriers	...l'émancipation des hommes		ANSWERS	...l'émancipation des femmes							
Comment sont fabriqués les vêtements prêt-à-porter ?	De manière artisanale	De manière industrielle	A la main	Par des brodeuses		ANSWERS	De manière industrielle							
Quel est l'élément qui n'a pas été créé par Coco Channel ?	La coupe à la garçonne	La robe en jersey	Le chapeau-cloche	La marinière		ANSWERS	Le chapeau-cloche							
Que signifie le terme « haute-couture » ?	Activité de création de vêtements originaux et de luxe.	Les coutures sont plus hautes sur les vêtements de luxe.	Industrie des vêtements fabriqués en série.	Manière collective passagère de se comporter, de s'habiller.		ANSWERS	Activité de création de vêtements originaux et de luxe.							
														
Le café, un grand marché mondial - Sujet d'étude au choix (4)	id: + 2099													
Quel est le premier pays producteur de café ?	Le Brésil	Le Vietnam	L’Indonésie	La Colombie		ANSWERS	Le Brésil							
Combien de tasses sont consommées chaque année ?	600 millions	6 millions	60 millions	600 milliards		ANSWERS	6 millions							
Quand a été créé l’OIC ?	1963	1973	1983	1993		ANSWERS	1963							
Combien de pays produisent du café ?	40	50	60	70		ANSWERS	60							
Par quelles types de cultures les caféiers sont-ils remplacés en Colombie ?	Du soja	De la coca	Du blé	Du mais		ANSWERS	De la coca							
Quelle firme produit plus de 50% du café soluble ?	Danone	Bonduelle	Kraft Foods	Nestlé		ANSWERS	Nestlé							
Quel organisme a développé le commerce équitable ?	Nestlé	Max Havelaar	Oxfam	Oxford		ANSWERS	Max Havelaar							
Où est consommé le café ?	Asie du sud est	Amérique du sud	Europe occidentale	Afrique de l’ouest		ANSWERS	Europe occidentale							
Quelle est la part du commerce équitable dans le commerce mondial ?	5%	2%	4%	10%		ANSWERS	2%							
Combien de FTN contrôlent le marché mondial ?	Environ une soixantaine	Environ une cinquantaine	Environ une quarantaine	Environ une trentaine		ANSWERS	Environ une quarantaine							
														
Les Jeux olympiques, un enjeu mondial - Sujet d'étude au choix (4)	id: + 2100													
Où sont nés les premiers jeux olympiques ?	En Egypte	En Grèce	En Crète	A Marseille		ANSWERS	En Grèce							
Quand sont nés les jeux olympiques ?	Au 8è siècle avant JC	Au 8è siècle après JC	Au 5è siècle avant JC	Au 5è siècle après JC		ANSWERS	Au 8è siècle avant JC							
Quand sont nés les Jeux Olympiques modernes ?	En 1696	En 1789	En 1896	En 1996		ANSWERS	En 1896							
En l’honneur de qui étaient organisés les jeux olympiques ?	Athéna	Bacchus	Dionysos	Zeus		ANSWERS	Zeus							
Où ont lieu les prochains jeux olympiques ?	Amsterdam	Rio	Los Angeles	Paris		ANSWERS	Rio							
Combien de pays regroupent le CIO ?	105	305	205	155		ANSWERS	205							
Pourquoi les JO sont un évènement fort ?	Car cet évènement est très médiatisé	C’est un évènement connu	Cela permet d’être reconnu	Il y a beaucoup d’athlètes		ANSWERS	Car cet évènement est très médiatisé							
Dans quels pays y a-t-il le plus de médaillés or ?	En Afrique subsaharienne	En Asie	Dans les pays développés	En Amérique latine		ANSWERS	Dans les pays développés							
Quand a été allumée la première flamme olympique ?	1938	1918	1908	1928		ANSWERS	1928							
Quelles sont les valeurs véhiculées par les JO ?	L’universalisme	La compétition	L’argent	La domination		ANSWERS	L’universalisme							
														
La Chine depuis 1911 : de la fin de l'Empire du milieu à l'un des centres de la mondialisation	id: + 2101													
A quel rang se situe le budget militaire de la Chine ?	1	2	3	4		ANSWERS	3							
Qui est Liu Xiaobo ?	Un dictateur	Un prix Nobel de la paix	Un militaire	Un économiste		ANSWERS	Un prix Nobel de la paix							
Quand Deng Xiaoping accède-t-il au pouvoir ?	1976	1986	1978	1956		ANSWERS	1978							
Quand Hong Kong est-il rétrocédé à la Chine ?	1907	1917	1997	2007		ANSWERS	1997							
Quand la Chine rompt-elle avec l’URSS ?	1958	1968	1955	1945		ANSWERS	1958							
Quelle est la raison du mouvement de mai 1919 ?	C’est une réaction suite au manque de libertés	C’est une réaction suite au Traité de Versailles	C’est une réaction suite aux privations économiques	C’est une réaction pour avoir plus de congés		ANSWERS	C’est une réaction suite au Traité de Versailles							
Pourquoi peut-on encore parler de dictature chinoise aujourd’hui ?	Un seul parti est autorisé	Les Chinois ont peu de congés payés	C’est un pays atelier	La presse est limitée		ANSWERS	Un seul parti est autorisé							
Comment s’appelle la série de réformes économiques lancées par Deng Xiaoping ?	La révolution culturelle	La révolution économique	Les quatre modernisations	Les cinq modernisations		ANSWERS	Les quatre modernisations							
Où la Chine investit-elle le plus aujourd’hui ?	En Asie	En Amérique du sud	En Europe	En Afrique		ANSWERS	En Afrique							
Comment s’appelle la politique lancée par Mao ?	Le grand bond en avant	Le grand bond en arrière	Le pas de côté	Le pas de deux		ANSWERS	Le grand bond en avant							
														
Contrôler la démographie en Chine communiste - Sujet d'étude au choix (5)	id: + 2102													
Qui a mis en place la politique de l’enfant unique ?	Mao Zedoung	Ho Chi Minh	Zhou en Lai	Deng Xiaoping		ANSWERS	Deng Xiaoping							
Quand a été mise en place la politique de l’enfant unique ?	1949	1979	1989	1969		ANSWERS	1979							
Quel est l’objectif de la politique de l’enfant unique ?	Ne pas dépasser 1.3 milliard d’habitants en 2000	Ne pas dépasser 2 milliards d’habitants en 2050	Ne pas dépasser 3 milliards d’habitants en 2000	Ne pas dépasser 1 milliard d’habitants en 2000		ANSWERS	Ne pas dépasser 1.3 milliard d’habitants en 2000							
A combien s’élève aujourd’hui l’indice de fécondité ?	2	3	17,7	1,8		ANSWERS	1,8							
Combien y a-t-il d’habitants aujourd'hui en Chine ?	1,3 milliard	1,3 million	1 milliard	1,2 milliard		ANSWERS	1,3 milliard							
Quand le parti communiste a-t-il mis fin à la politique de l’enfant unique ?	2013	2015	1995	2005		ANSWERS	2015							
